Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Apr 1, 2016",503.00,512.20,451.00,489.25,387.15,"5,721,185"
"Mar 1, 2016",417.20,518.70,417.20,491.80,389.17,"4,599,111"
"Feb 1, 2016",460.15,471.85,404.10,420.60,332.83,"3,902,946"
"Jan 1, 2016",498.80,505.00,435.00,456.15,360.96,"3,983,695"
"Dec 1, 2015",502.05,514.90,458.50,497.55,393.72,"3,026,285"
"Nov 1, 2015",474.45,525.45,462.05,497.00,393.29,"6,509,598"
"Oct 1, 2015",413.95,534.35,398.15,474.40,375.40,"10,390,773"
"Sep 1, 2015",420.00,426.40,396.25,410.25,324.64,"3,948,104"
"Aug 25, 2015",16.00 Dividend
"Aug 1, 2015",424.50,443.20,365.00,422.95,321.66,"4,701,758"
"Jul 1, 2015",416.00,441.25,365.00,420.20,319.57,"4,375,339"
"Jun 1, 2015",374.90,427.70,361.05,410.75,312.38,"2,074,198"
"May 1, 2015",394.95,396.50,368.60,369.75,281.20,"1,903,119"
"Apr 1, 2015",387.00,407.00,381.15,394.95,300.37,"1,504,672"
"Mar 1, 2015",380.10,420.90,369.00,385.40,293.10,"3,408,288"
"Feb 1, 2015",360.20,396.15,331.10,383.85,291.92,"2,653,913"
"Jan 1, 2015",387.95,396.80,358.20,362.55,275.73,"1,497,809"
"Dec 1, 2014",401.05,413.85,340.05,385.45,293.14,"1,408,846"
"Nov 1, 2014",403.00,417.65,390.20,404.20,307.40,"1,124,946"
"Oct 1, 2014",430.00,432.85,384.90,400.90,304.89,"1,913,955"
"Sep 1, 2014",444.00,463.90,427.30,429.10,326.34,"2,790,215"
"Aug 1, 2014",452.35,469.60,420.15,445.60,338.89,"3,323,240"
"Jul 16, 2014",7.00 Dividend
"Jul 1, 2014",425.50,476.90,403.05,457.35,342.24,"5,406,005"
"Jun 1, 2014",443.95,462.00,410.75,425.65,318.52,"3,426,612"
"May 1, 2014",412.70,449.00,372.10,440.90,329.93,"2,524,102"
"Apr 1, 2014",400.50,435.00,400.00,412.70,308.83,"1,964,547"
"Mar 1, 2014",385.10,428.00,374.50,404.00,302.32,"3,614,198"
"Feb 1, 2014",370.45,407.95,366.00,387.85,290.24,"2,766,303"
"Jan 22, 2014",17.00 Dividend
"Jan 1, 2014",442.00,444.95,366.00,370.45,266.04,"2,764,796"
"Dec 1, 2013",396.00,445.00,370.00,440.00,315.99,"1,387,880"
"Nov 1, 2013",427.50,429.95,389.10,399.45,286.87,"657,997"
"Oct 1, 2013",439.95,466.20,421.00,423.40,304.07,"1,284,130"
"Sep 1, 2013",423.00,452.25,398.70,438.75,315.10,"2,019,164"
"Aug 1, 2013",397.00,447.00,362.00,420.80,302.20,"2,162,182"
"Jul 1, 2013",371.95,440.00,360.10,400.85,287.88,"2,050,809"
